"행정구역","2023년_계_총인구수","2023년_계_연령구간인구수","2023년_계_0~4세","2023년_계_5~9세","2023년_계_10~14세","2023년_계_15~19세","2023년_계_20~24세","2023년_계_25~29세","2023년_계_30~34세","2023년_계_35~39세","2023년_계_40~44세","2023년_계_45~49세","2023년_계_50~54세","2023년_계_55~59세","2023년_계_60~64세","2023년_계_65~69세","2023년_계_70~74세","2023년_계_75~79세","2023년_계_80~84세","2023년_계_85~89세","2023년_계_90~94세","2023년_계_95~99세","2023년_계_100세 이상","2023년_남_총인구수","2023년_남_연령구간인구수","2023년_남_0~4세","2023년_남_5~9세","2023년_남_10~14세","2023년_남_15~19세","2023년_남_20~24세","2023년_남_25~29세","2023년_남_30~34세","2023년_남_35~39세","2023년_남_40~44세","2023년_남_45~49세","2023년_남_50~54세","2023년_남_55~59세","2023년_남_60~64세","2023년_남_65~69세","2023년_남_70~74세","2023년_남_75~79세","2023년_남_80~84세","2023년_남_85~89세","2023년_남_90~94세","2023년_남_95~99세","2023년_남_100세 이상","2023년_여_총인구수","2023년_여_연령구간인구수","2023년_여_0~4세","2023년_여_5~9세","2023년_여_10~14세","2023년_여_15~19세","2023년_여_20~24세","2023년_여_25~29세","2023년_여_30~34세","2023년_여_35~39세","2023년_여_40~44세","2023년_여_45~49세","2023년_여_50~54세","2023년_여_55~59세","2023년_여_60~64세","2023년_여_65~69세","2023년_여_70~74세","2023년_여_75~79세","2023년_여_80~84세","2023년_여_85~89세","2023년_여_90~94세","2023년_여_95~99세","2023년_여_100세 이상"
"서울특별시  (1100000000)","9,386,034","9,386,034","213,014","300,548","355,014","378,197","555,058","800,753","777,975","649,430","737,027","683,046","793,687","701,870","706,835","609,103","417,048","321,421","228,831","110,383","36,809","8,537","1,448","4,540,031","4,540,031","109,615","153,833","182,333","193,013","260,394","382,835","390,093","323,822","365,462","337,539","391,756","343,004","338,627","284,228","191,108","142,967","97,049","39,975","10,239","1,820","319","4,846,003","4,846,003","103,399","146,715","172,681","185,184","294,664","417,918","387,882","325,608","371,565","345,507","401,931","358,866","368,208","324,875","225,940","178,454","131,782","70,408","26,570","6,717","1,129"
"서울특별시 종로구 (1111000000)","139,417","139,417","2,342","3,577","4,540","5,199","9,113","12,383","10,882","8,440","9,783","9,411","12,414","11,501","11,332","9,357","6,218","5,285","4,328","2,316","760","201","35","67,306","67,306","1,203","1,786","2,225","2,551","4,125","6,049","5,508","4,140","4,767","4,524","6,151","5,703","5,717","4,648","2,922","2,289","1,802","872","260","55","9","72,111","72,111","1,139","1,791","2,315","2,648","4,988","6,334","5,374","4,300","5,016","4,887","6,263","5,798","5,615","4,709","3,296","2,996","2,526","1,444","500","146","26"
"서울특별시 종로구 청운효자동(1111051500)","11,349","11,349","227","369","524","560","608","794","803","709","972","919","1,043","871","788","626","476","425","347","205","63","17","3","5,187","5,187","120","197","268","284","313","372","362","315","428","399","490","378","365","283","196","166","141","86","18","5","1","6,162","6,162","107","172","256","276","295","422","441","394","544","520","553","493","423","343","280","259","206","119","45","12","2"
"서울특별시 종로구 사직동(1111053000)","8,998","8,998","174","288","309","352","407","637","790","623","712","697","794","684","679","567","355","334","303","200","66","22","5","3,993","3,993","83","145","132","151","177","264","381","252","306","305","366","315","313","271","141","139","127","84","26","13","2","5,005","5,005","91","143","177","201","230","373","409","371","406","392","428","369","366","296","214","195","176","116","40","9","3"
"서울특별시 종로구 삼청동(1111054000)","2,248","2,248","28","58","81","82","90","148","140","142","186","131","175","176","203","179","134","117","91","55","26","4","2","1,075","1,075","12","27","46","49","49","72","65","65","85","68","85","86","97","79","69","49","38","20","10","3","1","1,173","1,173","16","31","35","33","41","76","75","77","101","63","90","90","106","100","65","68","53","35","16","1","1"
"서울특별시 종로구 부암동(1111055000)","9,085","9,085","118","263","376","439","489","613","631","541","686","701","856","777","722","620","397","347","274","157","54","21","3","4,303","4,303","61","121","211","237","247","317","319","253","311","305","399","357","340","280","191","155","118","64","14","3","0","4,782","4,782","57","142","165","202","242","296","312","288","375","396","457","420","382","340","206","192","156","93","40","18","3"
"서울특별시 종로구 평창동(1111056000)","17,387","17,387","397","599","741","797","956","1,048","1,036","1,025","1,322","1,161","1,615","1,543","1,521","1,262","737","660","468","344","113","33","9","8,097","8,097","212","327","363","379","483","511","515","458","609","514","723","691","728","576","358","274","205","128","36","5","2","9,290","9,290","185","272","378","418","473","537","521","567","713","647","892","852","793","686","379","386","263","216","77","28","7"
"서울특별시 종로구 무악동(1111057000)","7,961","7,961","193","353","472","453","440","383","380","432","639","662","851","584","605","484","350","255","250","125","39","7","4","3,650","3,650","86","152","194","197","206","181","180","198","288","322","428","289","283","221","156","110","89","54","15","1","0","4,311","4,311","107","201","278","256","234","202","200","234","351","340","423","295","322","263","194","145","161","71","24","6","4"
"서울특별시 종로구 교남동(1111058000)","9,715","9,715","328","413","392","394","469","674","685","722","866","829","918","707","622","573","399","293","254","132","36","9","0","4,457","4,457","162","206","193","177","222","300","322","317","406","378","443","348","282","252","160","116","109","50","9","5","0","5,258","5,258","166","207","199","217","247","374","363","405","460","451","475","359","340","321","239","177","145","82","27","4","0"
"서울특별시 종로구 가회동(1111060000)","3,860","3,860","58","90","158","156","172","234","266","237","330","303","374","316","316","231","190","179","148","71","22","9","0","1,793","1,793","38","50","76","85","76","112","116","114","156","139","181","152","148","106","82","70","58","25","8","1","0","2,067","2,067","20","40","82","71","96","122","150","123","174","164","193","164","168","125","108","109","90","46","14","8","0"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,683","6,683","83","87","110","94","299","651","566","409","461","379","552","569","685","628","379","316","254","113","35","11","2","4,045","4,045","47","49","59","43","125","335","342","234","284","231","376","388","468","428","250","178","138","52","14","3","1","2,638","2,638","36","38","51","51","174","316","224","175","177","148","176","181","217","200","129","138","116","61","21","8","1"
"서울특별시 종로구 종로5.6가동(1111063000)","5,384","5,384","53","103","89","114","410","770","552","337","278","293","400","457","458","338","225","240","165","68","27","7","0","2,827","2,827","25","47","37","52","168","379","292","202","165","157","227","267","266","207","107","108","87","24","10","0","0","2,557","2,557","28","56","52","62","242","391","260","135","113","136","173","190","192","131","118","132","78","44","17","7","0"
"서울특별시 종로구 이화동(1111064000)","6,899","6,899","75","96","137","179","505","990","783","437","433","360","517","485","528","408","327","254","224","116","33","12","0","3,280","3,280","35","54","74","91","224","462","376","228","214","189","259","232","259","192","151","107","86","30","14","3","0","3,619","3,619","40","42","63","88","281","528","407","209","219","171","258","253","269","216","176","147","138","86","19","9","0"
"서울특별시 종로구 혜화동(1111065000)","15,869","15,869","190","322","481","700","2,195","2,092","1,227","812","940","972","1,263","1,046","937","783","519","556","472","253","88","15","6","7,623","7,623","102","145","233","357","953","1,162","669","408","455","470","595","501","438","389","214","214","187","99","29","1","2","8,246","8,246","88","177","248","343","1,242","930","558","404","485","502","668","545","499","394","305","342","285","154","59","14","4"
"서울특별시 종로구 창신제1동(1111067000)","4,521","4,521","49","58","77","96","211","311","367","253","244","257","364","476","545","445","276","216","175","77","21","3","0","2,394","2,394","31","23","42","53","106","164","208","146","143","130","186","255","317","238","150","98","68","31","5","0","0","2,127","2,127","18","35","35","43","105","147","159","107","101","127","178","221","228","207","126","118","107","46","16","3","0"
"서울특별시 종로구 창신제2동(1111068000)","7,510","7,510","62","95","142","196","383","570","522","360","363","453","774","892","823","663","443","328","267","124","41","9","0","3,880","3,880","30","52","74","104","181","317","305","210","203","250","409","453","434","336","208","147","102","43","19","3","0","3,630","3,630","32","43","68","92","202","253","217","150","160","203","365","439","389","327","235","181","165","81","22","6","0"
