행정구역,행정구역코드,여성출산적령기_20_39세,노인기준_65세_이상,소멸지수,2023년_계_65~69세,2023년_계_70~74세,2023년_계_75~79세,2023년_계_80~84세,2023년_계_85~89세,2023년_계_90~94세,2023년_계_95~99세,2023년_계_100세 이상,2023년_여_20~24세,2023년_여_25~29세,2023년_여_30~34세,2023년_여_35~39세
서울특별시  ,1100000000,"1,426,072","1,733,580",0.822616781,"609,103","417,048","321,421","228,831","110,383","36,809","8,537","1,448","294,664","417,918","387,882","325,608"
서울특별시 종로구 ,1111000000,"20,996","28,500",0.736701754,"9,357","6,218","5,285","4,328","2,316",760,201,35,"4,988","6,334","5,374","4,300"
서울특별시 종로구 청운효자동,1111051500,"1,552","2,162",0.717853839,626,476,425,347,205,63,17,3,295,422,441,394
서울특별시 종로구 사직동,1111053000,"1,383","1,852",0.746760259,567,355,334,303,200,66,22,5,230,373,409,371
서울특별시 종로구 삼청동,1111054000,269,608,0.442434211,179,134,117,91,55,26,4,2,41,76,75,77
서울특별시 종로구 부암동,1111055000,"1,138","1,873",0.60758142,620,397,347,274,157,54,21,3,242,296,312,288
서울특별시 종로구 평창동,1111056000,"2,098","3,626",0.578599007,"1,262",737,660,468,344,113,33,9,473,537,521,567
서울특별시 종로구 무악동,1111057000,870,"1,514",0.574636724,484,350,255,250,125,39,7,4,234,202,200,234
서울특별시 종로구 교남동,1111058000,"1,389","1,696",0.818985849,573,399,293,254,132,36,9,0,247,374,363,405
서울특별시 종로구 가회동,1111060000,491,850,0.577647059,231,190,179,148,71,22,9,0,96,122,150,123
서울특별시 종로구 종로1.2.3.4가동,1111061500,889,"1,738",0.51150748,628,379,316,254,113,35,11,2,174,316,224,175
서울특별시 종로구 종로5.6가동,1111063000,"1,028","1,070",0.960747664,338,225,240,165,68,27,7,0,242,391,260,135
서울특별시 종로구 이화동,1111064000,"1,425","1,374",1.037117904,408,327,254,224,116,33,12,0,281,528,407,209
서울특별시 종로구 혜화동,1111065000,"3,134","2,692",1.164190193,783,519,556,472,253,88,15,6,"1,242",930,558,404
서울특별시 종로구 창신제1동,1111067000,518,"1,213",0.427040396,445,276,216,175,77,21,3,0,105,147,159,107
서울특별시 종로구 창신제2동,1111068000,822,"1,875",0.4384,663,443,328,267,124,41,9,0,202,253,217,150
서울특별시 종로구 창신제3동,1111069000,842,"1,320",0.637878788,477,283,232,189,96,36,7,0,162,234,249,197
서울특별시 종로구 숭인제1동,1111070000,768,"1,283",0.598597038,431,312,218,192,90,30,9,1,171,209,212,176
서울특별시 종로구 숭인제2동,1111071000,"2,380","1,754",1.356898518,642,416,315,255,90,30,6,0,551,924,617,288
서울특별시 중구 ,1114000000,"19,990","25,525",0.783153771,"8,570","5,766","4,725","3,669","1,892",704,172,27,"3,660","5,898","5,819","4,613"
서울특별시 중구 소공동,1114052000,376,279,1.347670251,115,63,41,32,19,7,2,0,39,100,125,112
서울특별시 중구 회현동,1114054000,478,"1,279",0.373729476,466,291,223,157,94,32,14,2,85,125,139,129
서울특별시 중구 명동,1114055000,371,723,0.513139696,260,155,126,98,55,21,8,0,91,107,90,83
서울특별시 중구 필동,1114057000,696,870,0.8,304,180,142,132,63,38,9,2,176,202,180,138
서울특별시 중구 장충동,1114058000,852,888,0.959459459,272,200,164,138,81,29,4,0,335,228,172,117
서울특별시 중구 광희동,1114059000,"1,348","1,128",1.195035461,384,292,212,148,69,16,7,0,300,458,389,201
서울특별시 중구 을지로동,1114060500,633,495,1.278787879,177,126,85,62,35,7,3,0,63,179,218,173
서울특별시 중구 신당동,1114061500,"1,402","1,524",0.919947507,488,344,315,232,95,36,13,1,272,478,381,271
서울특별시 중구 다산동,1114062500,"2,149","2,945",0.729711375,974,646,565,471,194,77,15,3,380,714,595,460
서울특별시 중구 약수동,1114063500,"2,103","4,126",0.509694619,"1,331",925,743,596,364,127,36,4,360,569,615,559
서울특별시 중구 청구동,1114064500,"1,901","2,949",0.644625297,957,663,530,452,237,85,19,6,322,493,583,503
서울특별시 중구 신당제5동,1114065000,"1,724","1,950",0.884102564,660,435,393,273,129,50,8,2,285,545,538,356
서울특별시 중구 동화동,1114066500,"1,223","2,075",0.58939759,714,455,357,299,169,66,15,0,258,323,348,294
서울특별시 중구 황학동,1114067000,"2,802","2,099",1.334921391,752,499,397,267,118,51,13,2,393,897,893,619
서울특별시 중구 중림동,1114068000,"1,932","2,195",0.880182232,716,492,432,312,170,62,6,5,301,480,553,598
서울특별시 용산구 ,1117000000,"35,049","39,239",0.893218482,"13,241","8,650","6,972","5,633","3,272","1,150",265,56,"6,387","9,867","10,418","8,377"
서울특별시 용산구 후암동,1117051000,"2,441","3,054",0.799279633,"1,023",711,538,412,260,75,25,10,377,756,734,574
서울특별시 용산구 용산2가동,1117052000,"1,430","2,070",0.690821256,625,497,373,311,188,64,11,1,222,426,458,324
서울특별시 용산구 남영동,1117053000,884,"1,595",0.554231975,649,344,281,190,93,28,6,4,159,269,274,182
서울특별시 용산구 청파동,1117055500,"4,069","3,312",1.228562802,"1,094",778,599,502,251,67,17,4,"1,152","1,361",985,571
서울특별시 용산구 원효로제1동,1117056000,"4,013","2,065",1.943341404,791,472,364,254,129,47,7,1,588,"1,191","1,304",930
서울특별시 용산구 원효로제2동,1117057000,"2,247","2,472",0.908980583,847,539,456,321,222,70,13,4,441,628,690,488
서울특별시 용산구 효창동,1117058000,"1,889","1,611",1.172563625,519,327,317,249,134,52,12,1,378,497,540,474
서울특별시 용산구 용문동,1117059000,"1,808","2,259",0.800354139,726,551,426,341,153,45,15,2,321,531,539,417
서울특별시 용산구 한강로동,1117062500,"4,420","3,240",1.364197531,"1,193",700,548,411,281,80,23,4,571,"1,274","1,476","1,099"
