행정구역,2024년01월_계_총인구수,2024년01월_계_연령구간인구수,2024년01월_계_0~9세,2024년01월_계_10~19세,2024년01월_계_20~29세,2024년01월_계_30~39세,2024년01월_계_40~49세,2024년01월_계_50~59세,2024년01월_계_60~69세,2024년01월_계_70~79세,2024년01월_계_80~89세,2024년01월_계_90~99세,2024년01월_계_100세 이상,2024년01월_남_총인구수,2024년01월_남_연령구간인구수,2024년01월_남_0~9세,2024년01월_남_10~19세,2024년01월_남_20~29세,2024년01월_남_30~39세,2024년01월_남_40~49세,2024년01월_남_50~59세,2024년01월_남_60~69세,2024년01월_남_70~79세,2024년01월_남_80~89세,2024년01월_남_90~99세,2024년01월_남_100세 이상,2024년01월_여_총인구수,2024년01월_여_연령구간인구수,2024년01월_여_0~9세,2024년01월_여_10~19세,2024년01월_여_20~29세,2024년01월_여_30~39세,2024년01월_여_40~49세,2024년01월_여_50~59세,2024년01월_여_60~69세,2024년01월_여_70~79세,2024년01월_여_80~89세,2024년01월_여_90~99세,2024년01월_여_100세 이상
서울특별시  (1100000000),"9,384,325","9,384,325","510,839","732,095","1,351,857","1,426,653","1,418,358","1,497,561","1,317,634","741,028","341,120","45,706","1,474","4,538,354","4,538,354","262,001","374,718","640,896","713,652","701,808","735,899","623,584","335,311","137,983","12,172",330,"4,845,971","4,845,971","248,838","357,377","710,961","713,001","716,550","761,662","694,050","405,717","203,137","33,534","1,144"
서울특별시 종로구 (1111000000),"139,378","139,378","5,865","9,728","21,514","19,272","19,185","23,886","20,732","11,519","6,662",975,40,"67,240","67,240","2,956","4,769","10,159","9,625","9,269","11,863","10,364","5,232","2,673",320,10,"72,138","72,138","2,909","4,959","11,355","9,647","9,916","12,023","10,368","6,287","3,989",655,30
서울특별시 종로구 청운효자동(1111051500),"11,323","11,323",587,"1,084","1,387","1,508","1,877","1,915","1,426",899,554,81,5,"5,170","5,170",311,549,674,682,814,870,656,362,224,26,2,"6,153","6,153",276,535,713,826,"1,063","1,045",770,537,330,55,3
서울특별시 종로구 사직동(1111053000),"8,992","8,992",458,654,"1,041","1,418","1,403","1,477","1,251",693,499,93,5,"3,980","3,980",225,280,434,633,607,680,586,282,211,40,2,"5,012","5,012",233,374,607,785,796,797,665,411,288,53,3
서울특별시 종로구 삼청동(1111054000),"2,250","2,250",85,166,237,284,320,344,384,251,147,30,2,"1,075","1,075",39,97,119,132,155,166,177,118,58,13,1,"1,175","1,175",46,69,118,152,165,178,207,133,89,17,1
서울특별시 종로구 부암동(1111055000),"9,050","9,050",374,804,"1,094","1,162","1,377","1,634","1,340",748,435,78,4,"4,286","4,286",178,446,558,568,615,752,617,349,185,18,0,"4,764","4,764",196,358,536,594,762,882,723,399,250,60,4
서울특별시 종로구 평창동(1111056000),"17,373","17,373",986,"1,541","1,994","2,050","2,496","3,138","2,796","1,399",812,151,10,"8,075","8,075",533,737,986,971,"1,122","1,411","1,303",636,332,42,2,"9,298","9,298",453,804,"1,008","1,079","1,374","1,727","1,493",763,480,109,8
서울특별시 종로구 무악동(1111057000),"7,988","7,988",547,929,837,809,"1,303","1,445","1,091",602,375,46,4,"3,664","3,664",241,395,394,375,606,723,507,265,143,15,0,"4,324","4,324",306,534,443,434,697,722,584,337,232,31,4
서울특별시 종로구 교남동(1111058000),"9,689","9,689",735,782,"1,141","1,383","1,699","1,622","1,201",696,384,46,0,"4,450","4,450",362,369,526,629,788,790,535,280,157,14,0,"5,239","5,239",373,413,615,754,911,832,666,416,227,32,0
서울특별시 종로구 가회동(1111060000),"3,872","3,872",149,311,408,504,633,697,547,364,228,31,0,"1,804","1,804",89,158,190,234,293,339,255,153,84,9,0,"2,068","2,068",60,153,218,270,340,358,292,211,144,22,0
